phi_x,Real F,Mean F Prediction,Std Dev Prediction
7.5,0.0606,0.06053597,0.004844786
22.5,0.0548,0.0534611,0.003827598
37.5,0.0412,0.043825697,0.0025533864
52.5,0.0388,0.035209205,0.0016353368
67.5,0.0295,0.028648853,0.001239893
82.5,0.0238,0.023939101,0.0011881045
97.5,0.0203,0.020616595,0.0012349782
112.5,0.0166,0.018285777,0.0012799052
127.5,0.0165,0.016668178,0.001306334
142.5,0.0149,0.015581242,0.0013187516
157.5,0.014,0.014910782,0.0013234891
172.5,0.0137,0.014590678,0.0013248451
187.5,0.0151,0.01459068,0.0013248451
202.5,0.0167,0.014910782,0.0013234891
217.5,0.0142,0.015581242,0.0013187517
232.5,0.019,0.016668173,0.0013063337
247.5,0.0185,0.018285776,0.0012799053
262.5,0.0196,0.020616587,0.0012349781
277.5,0.0242,0.023939092,0.0011881045
292.5,0.0312,0.028648853,0.001239893
307.5,0.0333,0.035209205,0.0016353368
322.5,0.0455,0.043825682,0.0025533845
337.5,0.0552,0.0534611,0.003827597
352.5,0.0554,0.060535926,0.0048447824
