set,k,QQ,x_b,t,phi_x,F,sigmaF,Mean F Prediction,Std Dev Prediction,ReH_pred,ReH_std,ReE_pred,ReE_std,ReHt_pred,ReHt_std,dvcs_pred,dvcs_std,ReH_pseudo_mean,ReE_pseudo_mean,ReHt_pseudo_mean,dvcs_pseudo_mean
1,5.75,1.82,0.343,-0.172,7.5,0.1116,0.00492,0.11580841,0.002452032,-1.0194837,0.12527962,-1.096801,0.14011858,-1.4123564,0.18616638,0.017328748,0.0013371711,-0.9579442484810377,-1.2122645160987648,-1.505939046706612,0.019193728926784243
2,5.75,1.933,0.368,-0.232,7.5,0.0769,0.00504,0.07577279,0.0025201659,-1.35215,0.15277795,-1.4116617,0.17280439,-1.6768615,0.22453581,0.01238231,0.0012655294,-1.5358673819114335,-1.281509449071611,-1.7595429922492716,0.012081866240681494
3,5.75,1.964,0.375,-0.278,7.5,0.0752,0.00672,0.06538661,0.003445398,-1.5518788,0.20823935,-1.5649831,0.21093982,-1.8323001,0.2929676,0.011565756,0.001415923,-1.2407271605185284,-1.7137490159540238,-2.2138073002701923,0.009980010611550315
4,5.75,1.986,0.379,-0.323,7.5,0.0662,0.00924,0.060241167,0.004614609,-1.4655145,0.26795578,-1.4612726,0.25032613,-1.8042858,0.41473326,0.009828647,0.0016085079,-1.2225195987234574,-1.4965033691165865,-2.4399152415438348,0.010288329047055058
5,5.75,1.999,0.381,-0.371,7.5,0.0706,0.01416,0.062450852,0.00619666,-1.1735883,0.37741154,-1.197216,0.33538347,-1.3652265,0.48372906,0.010357155,0.0017816545,-0.9351732292453264,-1.1931397669364678,-1.9188017364456704,0.009353577521730137
6,5.75,2.218,0.345,-0.176,7.5,0.1043,0.00432,0.10828207,0.0021789442,-1.029082,0.15358989,-1.0690267,0.15309983,-1.4033082,0.2085692,0.00834102,0.0013162771,-1.0662075777151647,-1.0020320334149988,-1.428451983482577,0.00606317753514634
7,5.75,2.318,0.363,-0.232,7.5,0.0803,0.0042,0.08105956,0.0022042994,-1.4431016,0.1608382,-1.3062433,0.16009481,-1.7118852,0.21234454,0.0074596875,0.0011614542,-1.3993935734299698,-1.196203938334882,-1.793117528230438,0.007061144287283772
8,5.75,2.348,0.368,-0.279,7.5,0.0666,0.00504,0.067042984,0.0030158935,-1.9370589,0.2245664,-1.8108852,0.22203138,-2.2946799,0.29253867,0.005542049,0.0013625436,-2.044063751916632,-2.0922946354706258,-1.9260645890358232,0.005022498237725643
9,5.75,2.36,0.371,-0.325,7.5,0.0648,0.00696,0.062375493,0.0033633425,-1.9112773,0.23863803,-1.7783786,0.23746026,-2.093681,0.32636222,0.0052582254,0.001419727,-2.2781116607175993,-2.0176091275592856,-1.9448921897981313,0.005176327412773921
10,5.75,2.375,0.373,-0.372,7.5,0.0606,0.01008,0.06053597,0.004844786,-1.6321254,0.34964976,-1.492733,0.3082261,-1.9067916,0.4745558,0.004252796,0.0012385233,-1.8535256907473174,-1.5770697952904134,-1.65476959611938,0.004044061376628944
